original,corrected,id
anomy,anomie,59361
condened,condemned,206881
anomie,anomy,233194
anarcosocial-communism,anarchosocial-communism,331338
AUTHROTITY,AUTHORTITY,331773
labor,labour,333947
ancien,ancient,361777
archos,archi,362628
convention,conventional,364851
Acording,According,386214
fictin,fiction,673395
article,articles,805503
Uraguay,Uruguay,826077
anarchism,Aarchism,849256
anarchi-socialists,anarcho-socialists,851287
heirarchy,hierarchy,1343170
organised,organized,2117982
heirarchy,hierarchy,2117982
captialism,capitalism,2117982
trough,through,2131878
generaly,generally,2182099
tradition,traditional,2182099
Christain,Christian,2208652
Christain,Christian,2208652
occured,occurred,2273099
primitavists,primitivists,2536903
politic,politi,2540283
estoic,stoic,2593219
videly,widely,2603070
nations,nation,2615438
recognised,recognized,2755650
organised,organized,2755650
polytical,political,2755650
infuence,influence,2755650
volontary,voluntary,2755650
premiss,premise,2755650
organisation,organization,2755650
communites,communities,2755650
synthesised,synthesized,2755650
equalled,equaled,2755650
industrialised,industrialized,2755650
civilisation,civilization,2755650
prominant,prominent,2755650
existance,existence,2755650
Argentinian,Argentinean,2755650
organisation,organization,2755650
argentinian,Argentinean,2755650
sucessful,successful,2755650
organised,organized,2755650
organisation,organization,2755650
organising,organizing,2755650
organising,organizing,2755650
foriegn,foreign,2755650
prationoners,practitioners,2755650
philosphy,philosophy,2755650
Organisation,Organization,2755650
anarchists,anarchist,2867232
anarchy,anarchism,2924909
anarchism,anarchy,3001884
heirarchy,hierarchy,3184698
Enragï¿½s,Enragés,3443429
Umanitï¿½,Umanità,3443429
trasitioning,transitioning,3490946
contrastinga,contrasting,3527454
pproach,approach,3527454
cooperation,co-operation,3846028
cooperation,co-operation,3846028
cooperatives,co-operatives,3846028
coordinated,co-ordinated,3846028
coordinated,co-ordinated,3846028
bring,brings,3847495
non-authortarian,non-authoritarian,4124079
Goverment,Government,4284309
Catalunya,Catalonia,4314248
communist,communists,4314248
anarchic,anarchist,5417105
betwen,between,5417283
co-operation,cooperation,5433652
policeman,policemen,5707970
manner,maner,6197161
original,corrected,id
anomy,anomie,59361
condened,condemned,206881
anomie,anomy,233194
anarcosocial-communism,anarchosocial-communism,331338
AUTHROTITY,AUTHORTITY,331773
labor,labour,333947
ancien,ancient,361777
archos,archi,362628
convention,conventional,364851
Acording,According,386214
fictin,fiction,673395
article,articles,805503
Uraguay,Uruguay,826077
anarchism,Aarchism,849256
anarchi-socialists,anarcho-socialists,851287
heirarchy,hierarchy,1343170
organised,organized,2117982
heirarchy,hierarchy,2117982
captialism,capitalism,2117982
trough,through,2131878
generaly,generally,2182099
tradition,traditional,2182099
Christain,Christian,2208652
Christain,Christian,2208652
occured,occurred,2273099
primitavists,primitivists,2536903
politic,politi,2540283
estoic,stoic,2593219
videly,widely,2603070
nations,nation,2615438
recognised,recognized,2755650
organised,organized,2755650
polytical,political,2755650
infuence,influence,2755650
volontary,voluntary,2755650
premiss,premise,2755650
organisation,organization,2755650
communites,communities,2755650
synthesised,synthesized,2755650
equalled,equaled,2755650
industrialised,industrialized,2755650
civilisation,civilization,2755650
prominant,prominent,2755650
existance,existence,2755650
Argentinian,Argentinean,2755650
organisation,organization,2755650
argentinian,Argentinean,2755650
sucessful,successful,2755650
organised,organized,2755650
organisation,organization,2755650
organising,organizing,2755650
organising,organizing,2755650
foriegn,foreign,2755650
prationoners,practitioners,2755650
philosphy,philosophy,2755650
Organisation,Organization,2755650
anarchists,anarchist,2867232
anarchy,anarchism,2924909
anarchism,anarchy,3001884
heirarchy,hierarchy,3184698
Enragï¿½s,Enragés,3443429
Umanitï¿½,Umanità,3443429
trasitioning,transitioning,3490946
contrastinga,contrasting,3527454
pproach,approach,3527454
cooperation,co-operation,3846028
cooperation,co-operation,3846028
cooperatives,co-operatives,3846028
coordinated,co-ordinated,3846028
coordinated,co-ordinated,3846028
bring,brings,3847495
non-authortarian,non-authoritarian,4124079
Goverment,Government,4284309
Catalunya,Catalonia,4314248
communist,communists,4314248
anarchic,anarchist,5417105
betwen,between,5417283
co-operation,cooperation,5433652
policeman,policemen,5707970
manner,maner,6197161
anarcho-feminists,anarcha-feminists,7725095
Anarchosyndicalism,anarcho-syndicalism,7734373
socialists,socialism,7734373
proofen,proven,7734373
Therefor,Therefore,7734373
ndash,mdash,7734373
ndash,mdash,7734373
non-violence,nonviolence,7734373
non-violent,nonviolent,7734373
Altough,Although,7806215
anarcho-capitalistism,anarcho-capitalism,8203916
socialists,socialism,8225107
prefered,preferred,8370813
Ukrain,Ukraine,8400799
Ukrain,Ukraine,8400799
Ukrain,Ukraine,8433625
buidling,building,8792451
parallell,parallel,8792451
Austrilia,Australia,9003107
overthrough,overthrow,9509285
beleifs,beliefs,9509285
contronting,confronting,9509285
presense,presence,9509285
protestors,protesters,9509285
corportations,corporations,9509285
Soliders,Soldiers,9509285
committiees,committees,9509285
